Source,Target,Weight
424,123,6
7,544,24
120,157,18
7,126,6
126,1096,2
440,128,8
123,123,40
494,874,17
874,194,19
127,874,50
2,156,13
156,222,4
159,156,8
1029,128,10
95,226,14
41,123,30
387,233,32
494,233,14
494,1,28
2,494,19
67,595,29
112,422,28
387,543,17
344,226,25
258,188,12
258,522,7
258,1029,6
166,1096,7
966,4,15
85,734,48
245,287,8
76,14,19
76,128,26
391,544,11
1096,544,33
391,361,5
734,424,13
391,734,2
391,1096,2
178,4,63
172,226,13
245,81,23
245,127,16
209,496,7
902,81,12
543,902,4
247,902,2
579,543,6
579,247,10
188,134,24
13,438,4
13,328,1
126,914,5
914,319,6
172,172,12
95,1,6
242,422,21
723,438,65
723,328,37
95,723,17
67,328,30
95,438,9
95,328,11
328,328,6
723,247,32
242,134,23
159,172,10
172,544,12
544,81,17
1516,287,13
287,154,18
733,287,12
171,1516,11
1516,733,12
127,734,17
284,7,4
284,233,31
723,368,4
723,233,43
723,128,7
233,128,13
284,123,12
723,284,8
579,734,6
284,543,2
284,371,14
543,328,2
328,154,37
159,579,6
579,63,43
579,344,9
68,344,22
245,319,9
595,7,5
68,328,24
166,328,7
319,874,24
2,496,27
438,134,17
328,134,10
120,874,79
188,914,6
914,226,4
127,914,12
178,914,14
178,178,17
733,544,18
733,166,17
733,123,7
13,222,18
242,188,16
242,154,20
914,1096,7
368,914,8
67,902,14
4,902,13
13,902,9
247,344,25
68,361,20
361,319,8
287,361,11
2,287,17
287,319,13
46,902,22
287,902,15
14,247,32
67,579,15
544,226,20
387,544,37
242,544,41
595,127,17
76,319,4
245,76,6
67,1096,49
966,166,10
41,2751,6
579,287,12
579,2751,2
85,2751,11
319,2751,4
296,2751,4
287,2751,4
258,424,3
284,258,5
966,424,9
284,344,23
284,120,9
387,707,22
258,194,41
194,1,22
2,194,11
707,543,4
387,496,25
284,126,18
76,126,9
46,1516,22
908,134,17
1516,134,9
1516,63,3
194,496,17
159,966,7
258,827,8
159,258,6
908,1096,22
247,123,17
2110,707,2
2110,319,5
440,391,3
391,154,10
391,188,13
120,81,21
966,120,7
522,194,6
178,544,20
723,908,9
723,733,12
